customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,state,country,customer_segment,kyc_verified,onboarding_date
CUST00027,Andrea,Larson,Other,1987-08-27,wheelerbrandon@example.org,510-376-0954,Stephenshire,Kansas,India,SME,False,2025-02-18
CUST00028,Ronald,Hurley,Female,1996-03-25,williamsdarrell@example.com,335.305.8319x9717,North Shawnburgh,Indiana,India,Corporate,True,2018-11-25
CUST00029,Alec,Collins,Other,1994-08-24,qmartinez@example.com,6068512070,Lake Laura,Massachusetts,India,SME,False,2020-03-30
CUST00030,Charles,Bennett,Other,1968-05-12,jamiejennings@example.org,810-580-4661,Brettstad,Wisconsin,India,Corporate,True,2017-03-06
CUST00031,Nicole,Conner,Female,1974-06-30,robert18@example.com,+1-990-776-7699x150,South Lisachester,Oklahoma,India,SME,True,2021-09-13
CUST00032,Rebecca,Li,Other,1983-08-11,robertroach@example.net,001-431-610-9193,Donnaside,West Virginia,India,SME,True,2018-12-11
CUST00033,Amy,Santiago,Male,1956-12-31,campbellkristen@example.com,(867)797-2320x024,Blairville,New Mexico,India,Retail,True,2021-11-22
CUST00034,Mary,Calderon,Other,1985-05-01,chelseastrickland@example.net,498-222-7495x4508,Mayfort,Montana,India,Retail,False,2022-05-08
CUST00035,Brandi,Rodgers,Male,1989-03-06,michaelortiz@example.org,388.706.5333,Mallorychester,Oklahoma,India,SME,True,2018-06-02
CUST00036,Earl,Jennings,Male,1994-03-14,kelleyrenee@example.net,677.895.9959,New Kristinburgh,North Carolina,India,Corporate,True,2021-03-30
CUST00037,David,Fox,Other,1945-07-28,arivera@example.org,921-770-7303x37933,Brendanstad,New Jersey,India,Corporate,False,2018-07-01
CUST00038,Kyle,Lucas,Male,2007-11-29,meadowsmary@example.net,001-463-662-0501x5081,New Monique,Virginia,India,Retail,True,2021-10-27
CUST00039,Rachel,Henderson,Female,1973-02-16,fhernandez@example.net,439.750.0334x234,Moorefort,New York,India,Retail,True,2023-06-21
CUST00040,Laura,Cox,Male,1967-10-18,cummingscraig@example.com,+1-432-830-2410,West William,New Hampshire,India,Premium,True,2022-08-27
CUST00041,Michelle,Cox,Male,1974-12-28,stephenmadden@example.com,+1-315-334-7355x2896,East Ericton,South Carolina,India,Retail,False,2023-04-11
CUST00042,Rachel,White,Male,2003-02-16,lwilliams@example.org,(823)538-6559,Paulside,Idaho,India,Corporate,True,2024-02-01
CUST00043,Jason,Lewis,Female,1987-07-30,michael56@example.net,2996384253,Jenniferhaven,Mississippi,India,Retail,False,2022-11-29
CUST00044,John,Meza,Female,1977-07-05,daviskatherine@example.org,(489)873-1791,East Todd,Wyoming,India,Premium,True,2024-02-13
CUST00045,Curtis,Tucker,Female,1994-04-24,christianelizabeth@example.org,001-885-278-7255x87774,South Ashley,Nevada,India,SME,True,2021-12-03
CUST00046,Kimberly,Perez,Other,1964-12-27,michael79@example.com,833.473.6346,Port Jacobberg,Alabama,India,SME,True,2017-03-27
CUST00047,Nicole,Taylor,Female,2001-06-08,watsonmatthew@example.org,(248)912-1478x539,North Tiffanyville,Maryland,India,Corporate,True,2021-12-05
CUST00048,Richard,Jones,Male,1977-01-19,dross@example.com,495.967.7665x75460,Churchton,Delaware,India,Premium,True,2022-11-22
CUST00049,Christine,Richard,Female,1983-12-09,evaughn@example.com,341.651.4888,Lake Michael,Kansas,India,SME,True,2020-05-20
CUST00050,Eric,Garcia,Female,1946-04-27,danielhorton@example.org,511.715.0835,Aguirreton,Kentucky,India,SME,False,2021-11-03
CUST00051,Sarah,Wise,Male,1992-10-30,dalepruitt@example.com,844-839-2840x445,South Melissafort,North Dakota,India,Retail,True,2022-02-13
CUST00052,Michelle,Conley,Other,1985-04-04,ywhite@example.com,001-907-582-6333,Heatherbury,Idaho,India,SME,False,2019-05-17
CUST00053,Theresa,Stephenson,Female,1964-09-06,huffmannichole@example.net,298.777.5153x66377,West Dale,Arkansas,India,Corporate,True,2019-05-12
CUST00054,Lisa,Johnson,Other,1984-07-15,timothyfreeman@example.com,(892)840-7553,Heatherburgh,North Dakota,India,SME,False,2024-05-04
CUST00055,Nicole,Rogers,Other,1943-07-22,qwilliams@example.net,+1-868-845-9090x22599,Jillville,Kentucky,India,Corporate,True,2021-11-30
CUST00056,Angel,Miranda,Other,2007-06-05,alexander89@example.net,961.686.3715,Garciaburgh,Rhode Island,India,Corporate,False,2023-09-29
CUST00057,Jill,Anderson,Male,1986-08-11,tiffanysantiago@example.com,421-582-0970,South Sierra,Kansas,India,Retail,False,2018-05-29
CUST00058,Martin,Bennett,Other,1967-09-19,reynoldsjessica@example.com,264-733-4817,Johnside,Connecticut,India,Premium,True,2023-12-13
CUST00059,Sarah,Martin,Other,1991-09-22,elizabeth62@example.net,502.456.6212x86716,Whitetown,Massachusetts,India,Corporate,True,2023-07-07
CUST00060,Leah,Guerra,Male,2006-03-18,smithsarah@example.net,546.972.9949,Mercedesberg,Illinois,India,SME,True,2020-06-19
CUST00061,Michelle,Wise,Other,1969-10-24,kchristian@example.org,930-927-1693x859,North Nicholas,Rhode Island,India,SME,True,2018-06-27
CUST00062,Lisa,Lamb,Other,1941-04-04,vflores@example.com,590.414.7546x926,Sheltonview,North Dakota,India,Corporate,False,2017-09-22
CUST00063,Joseph,Martin,Male,1958-02-19,hunterandrea@example.com,+1-667-362-9160x324,Hornborough,West Virginia,India,SME,False,2018-07-17
CUST00064,Kristin,Kim,Male,1975-04-08,fmontoya@example.com,001-937-468-1511x856,Lake Jill,Illinois,India,Retail,True,2021-11-07
CUST00065,Daniel,Jenkins,Female,1975-10-27,csolis@example.org,838-207-0176x563,East Theresa,Wisconsin,India,SME,True,2024-07-29
CUST00066,Monica,Rhodes,Female,1980-01-07,hwest@example.com,3415257771,Kevintown,Rhode Island,India,Retail,False,2017-06-14
CUST00067,Michele,Young,Female,1979-08-29,garciarobert@example.net,001-372-874-2209x124,Waynehaven,Colorado,India,Corporate,True,2017-06-12
CUST00068,Jeffrey,Wallace,Other,1970-11-08,petersenlatoya@example.net,(210)542-7523,Romeroshire,Georgia,India,Corporate,True,2023-01-03
CUST00069,Lisa,Mitchell,Other,1967-02-20,pamela83@example.net,508.516.4709x006,Alexandermouth,Florida,India,Corporate,True,2021-10-23
CUST00070,Steven,Goodman,Other,1993-01-22,xclements@example.org,(333)410-6005x313,Port Gabrielstad,Montana,India,Retail,False,2024-12-12
CUST00071,Kevin,Cole,Male,1980-07-25,meganrivera@example.net,001-820-868-1558x3938,Cannonstad,Alabama,India,SME,True,2021-05-05
CUST00072,Laura,Ferguson,Other,1974-07-29,xmoran@example.net,733-215-5206,New Katiemouth,Alaska,India,Retail,True,2022-05-25
CUST00073,Jeremy,Collins,Female,1963-12-31,wwilson@example.net,(937)331-4950x1364,Port Evelyn,Alabama,India,SME,True,2022-06-26
CUST00074,Andrew,Stokes,Male,1942-03-19,aaronkelly@example.net,001-789-924-1956x252,Scottburgh,California,India,SME,True,2024-09-23
CUST00075,James,Harrison,Male,1947-08-26,amy51@example.org,250-599-7683,Simmonsborough,Maine,India,Retail,True,2019-07-04
CUST00076,Mark,Conley,Male,1968-10-29,travisunderwood@example.net,2914436391,New Joyce,Maryland,India,Premium,True,2019-02-18
CUST00077,Michelle,Richardson,Female,2005-12-09,nrodriguez@example.org,(474)632-6303x975,Hallburgh,Arkansas,India,Corporate,True,2024-12-07
CUST00078,Tammy,Valentine,Female,1948-06-07,davidphelps@example.org,508-864-0355x33803,Morsefort,Tennessee,India,SME,True,2018-08-04
CUST00079,Joshua,Joyce,Female,2004-07-04,msummers@example.net,452.570.1713x02321,Lauraburgh,Texas,India,SME,False,2016-09-07
CUST00080,Darlene,Murray,Male,1950-03-05,daniel60@example.net,881.467.4233,Ashleytown,Vermont,India,Retail,True,2022-11-02
CUST00081,Ricardo,Campbell,Male,1961-10-01,bartonshannon@example.net,+1-834-449-7347x156,Millerfurt,New Jersey,India,Premium,False,2018-03-07
CUST00082,Tina,Reyes,Other,1971-07-04,tamarasmith@example.net,476.489.6270x6614,Amyberg,Montana,India,Corporate,True,2020-08-04
CUST00083,Amanda,Rose,Other,1954-08-10,tranryan@example.net,467-947-4689x715,North Destiny,Georgia,India,Premium,True,2023-03-18
CUST00084,Sheila,Burch,Female,1973-05-19,xglass@example.org,823.800.8576,East Brittany,South Carolina,India,Corporate,True,2025-06-05
CUST00085,Darrell,Montoya,Male,1972-12-02,jessicaanderson@example.com,001-556-874-9160x1692,North Marcuschester,Washington,India,SME,True,2024-06-02
CUST00086,Tara,Solis,Other,1970-05-03,william66@example.net,758-275-0663x370,North Edward,West Virginia,India,SME,False,2017-10-10
CUST00087,Gregory,Taylor,Female,1987-12-03,joshuastuart@example.com,001-324-397-2439x920,Leslieshire,California,India,Retail,False,2018-04-11
CUST00088,Sydney,Wright,Female,1962-03-24,iballard@example.com,+1-866-691-8362x6448,Hallbury,Maryland,India,Retail,True,2021-11-11
CUST00089,Joseph,Davidson,Other,1960-12-16,megan85@example.net,001-961-219-5243x6402,Barnettberg,West Virginia,India,Premium,True,2021-04-26
CUST00090,Daniel,Sawyer,Female,1995-08-20,jamesweber@example.com,716-486-4622,Jacksonport,Tennessee,India,Premium,True,2024-10-10
CUST00091,Ryan,Spencer,Male,1948-05-14,samantha22@example.net,001-223-472-8179x323,North Ryan,Texas,India,Corporate,True,2024-12-27
CUST00092,Jessica,Garcia,Female,1998-04-15,jennifer58@example.com,001-334-767-9121x41614,West Elizabethhaven,Iowa,India,Retail,True,2019-03-29
CUST00093,Lee,Singleton,Male,1984-08-08,icraig@example.com,2932771004,Lake Elizabethmouth,Arizona,India,SME,True,2023-12-24
CUST00094,Catherine,Rosales,Male,1986-08-03,hstokes@example.org,938-706-9847,East Jamieville,Maine,India,Retail,True,2024-11-25
CUST00095,William,Mitchell,Other,1951-09-20,jamesbrian@example.org,+1-765-755-5356x690,Lake Amanda,Washington,India,Premium,False,2017-12-29
CUST00096,Paul,Hines,Other,2007-06-13,josephfloyd@example.com,607-562-0918,North Josephside,Oregon,India,Retail,True,2020-02-13
CUST00097,Barbara,Nelson,Other,1957-02-16,dwayne04@example.org,(779)978-6305x050,Lake Melissa,California,India,SME,False,2020-09-08
CUST00098,Jonathan,Whitehead,Female,1952-05-27,howardshaun@example.net,397.869.1567,Port Dawnburgh,Indiana,India,Retail,True,2021-01-27
CUST00099,Jeanne,Hernandez,Other,1951-06-07,juliahoffman@example.org,993-428-9802x7148,North Stephanie,Maryland,India,Premium,True,2020-12-18
CUST00100,Aaron,Kim,Other,1978-08-11,heather06@example.com,417.783.3321x160,Port Charles,Delaware,India,SME,True,2024-02-29
CUST00101,Sara,Potts,Female,2005-09-19,rfrye@example.com,(343)747-1287x1539,Williamville,Alaska,India,Corporate,True,2023-07-05
CUST00102,Amanda,Walker,Other,1956-04-22,smithjohn@example.net,(568)363-3414x1115,Amandachester,Indiana,India,Corporate,True,2021-04-11
CUST00103,Jennifer,Hayes,Female,1968-02-01,ogreer@example.net,001-552-856-9040,Nicholsfurt,North Dakota,India,SME,True,2024-09-19
CUST00104,Judy,Bailey,Female,1953-01-31,kari89@example.org,(455)628-9931x60875,Patriciaville,Oregon,India,SME,True,2017-09-12
CUST00105,Emily,Johnson,Male,1984-02-04,kellythompson@example.net,777.629.4209,New Markside,New York,India,SME,True,2020-08-03
CUST00106,Michael,Brown,Male,1969-12-04,lopezglenn@example.net,214.497.3746x05233,South Kyleport,Massachusetts,India,Premium,True,2022-04-29
CUST00107,Chad,Shaw,Other,1942-07-12,bennettroy@example.net,364.620.8656x7566,Port Mary,Georgia,India,SME,True,2022-05-19
CUST00108,Elizabeth,Young,Female,1982-04-20,david94@example.org,438-961-2590x4729,North Lauraburgh,South Dakota,India,Premium,True,2017-01-22
CUST00109,Mark,Vang,Male,1953-12-16,steven20@example.org,001-874-823-3305x912,Ramoshaven,Ohio,India,SME,True,2022-06-15
CUST00110,Lee,Brooks,Male,1980-10-23,candice94@example.com,+1-820-515-7201x85962,Sanchezmouth,New Mexico,India,Premium,True,2025-04-16
CUST00111,Melanie,Johnson,Male,1966-12-25,charles58@example.org,3139674926,Kimberlyfurt,Florida,India,Premium,False,2019-02-24
CUST00112,Jennifer,Galvan,Male,1988-06-18,abigailhartman@example.org,+1-264-975-0111x1783,Campbellfurt,Arizona,India,Retail,True,2020-01-12
CUST00113,Kevin,Combs,Other,1954-07-15,zdaniels@example.org,319-426-7649x215,Kimberlyville,Pennsylvania,India,Corporate,False,2016-12-25
CUST00114,Kyle,Santos,Male,1991-09-13,jeffrey35@example.com,(306)488-8718x9813,Ramseyborough,South Carolina,India,SME,True,2022-10-25
CUST00115,Ricky,Moody,Other,1995-07-15,kelly98@example.com,+1-320-687-5102x932,Donnaville,Ohio,India,Corporate,True,2025-06-04
CUST00116,Richard,Taylor,Female,1944-10-17,wilsonmichael@example.org,001-601-918-4582x60340,Lake Sarah,Nevada,India,Corporate,True,2018-05-04
CUST00117,Kenneth,Mitchell,Other,1947-06-18,susanfleming@example.com,(597)358-5988,East Charles,Tennessee,India,Retail,True,2023-01-18
CUST00118,David,Gallegos,Male,1999-11-02,hmoon@example.com,+1-603-403-2432x98395,North Kevin,Massachusetts,India,Corporate,False,2021-09-19
CUST00119,Robert,Horton,Female,1953-04-03,amber40@example.net,001-896-418-4462x6714,North Justinview,Texas,India,Corporate,False,2019-11-14
CUST00120,Shelby,Taylor,Female,1962-09-16,willie87@example.com,+1-431-843-5989,Port Teresa,Missouri,India,SME,False,2019-04-17
CUST00121,Erica,Thornton,Other,1971-08-28,phillipsdenise@example.com,(356)360-9314,Jessicahaven,Maryland,India,Premium,True,2023-04-08
CUST00122,Raven,West,Female,1958-05-20,vaughangary@example.net,+1-886-515-1554x23401,North Thomasmouth,Hawaii,India,SME,True,2021-09-17
CUST00123,Christina,Smith,Other,1999-03-15,simsjason@example.net,(611)328-4971x8594,Port Kathleen,West Virginia,India,SME,True,2021-05-14
CUST00124,Kevin,Miller,Female,1976-06-04,michellecoleman@example.org,8259625889,Barbarahaven,Texas,India,Corporate,True,2024-05-14
CUST00125,Amy,Scott,Other,1984-01-01,amandapark@example.net,001-624-208-2226,Lake Eugeneborough,Vermont,India,Corporate,True,2018-12-23
CUST00126,Aaron,Conley,Male,1981-02-18,elucas@example.net,001-853-596-7275x7844,Lake Andreaton,Florida,India,SME,True,2016-10-04
CUST00127,Justin,Dunn,Other,1982-02-10,andrewlove@example.org,314-665-1113x1290,South Robert,Maine,India,SME,True,2022-08-27
CUST00128,Russell,Acosta,Other,1980-06-16,jonesgregory@example.com,+1-370-868-2778,Lake Haleyburgh,Alabama,India,Corporate,True,2021-03-05
CUST00129,Bethany,Rose,Male,1964-03-14,andrewsjeremy@example.com,2939068538,North Adamborough,Michigan,India,Premium,True,2022-09-20
CUST00130,Diana,Rodriguez,Other,1998-01-14,ohughes@example.com,(283)821-5285,New Matthew,South Carolina,India,Premium,False,2022-02-24
CUST00131,Steven,Roberts,Other,1982-07-10,ystewart@example.net,662.551.5381x4474,Lopezville,Virginia,India,SME,True,2021-08-23
CUST00132,Scott,Turner,Female,1995-11-16,nicholsdarlene@example.net,9962348079,West Crystalmouth,Tennessee,India,Premium,True,2023-09-17
CUST00133,Jason,Williams,Other,1988-07-19,avilabrenda@example.net,(709)275-4510x526,West John,Georgia,India,SME,False,2018-04-10
CUST00134,Thomas,Barnes,Female,1960-10-07,howardwesley@example.com,367-931-8826,New Jennifer,Arkansas,India,Retail,False,2022-08-23
CUST00135,Rachel,Bauer,Male,1982-04-29,catherine47@example.com,8244376545,Angelaburgh,North Dakota,India,Corporate,True,2018-09-17
CUST00136,Laura,Bryant,Female,1946-04-21,bshort@example.com,+1-241-777-2256,Kirbyburgh,Idaho,India,SME,True,2016-07-28
CUST00137,Gene,Rodriguez,Female,1949-08-25,amandataylor@example.com,001-531-934-0266x502,North Shannonside,Iowa,India,SME,True,2022-02-15
CUST00138,Christopher,Stein,Male,1948-07-22,susan24@example.net,+1-341-267-8725x68621,Martinmouth,Michigan,India,SME,True,2024-10-20
CUST00139,Zachary,Carlson,Female,1961-04-22,susan08@example.net,(225)880-3056,Mahoneybury,Iowa,India,Premium,True,2017-12-04
CUST00140,Cynthia,Smith,Male,1952-12-27,davidsmith@example.net,344.671.6392x8234,Port Angela,Alaska,India,SME,True,2020-02-04
CUST00141,Matthew,Robertson,Other,1987-09-11,fmedina@example.com,001-536-337-1892x392,Port Walter,Oregon,India,Retail,True,2017-08-12
CUST00142,Loretta,Allen,Other,1975-04-12,kaitlinberger@example.com,(560)343-2609,Nunezborough,New York,India,Premium,True,2024-02-04
CUST00143,Karen,Thomas,Female,1968-12-24,robertbrewer@example.net,9662843356,Port Timothy,Nevada,India,Corporate,False,2017-01-27
CUST00144,Emily,Patterson,Other,1949-12-01,eugenewalker@example.com,260.241.4545x63502,New Matthewville,Nevada,India,Retail,False,2024-06-16
CUST00145,Jeffrey,Mendez,Male,1966-08-20,dannylambert@example.net,4536474916,Thompsonmouth,Rhode Island,India,SME,True,2020-04-17
CUST00146,James,Allen,Other,1953-03-04,yorksarah@example.net,755.541.1082x5559,East Ryanport,Connecticut,India,Retail,False,2019-12-30
CUST00147,Andrew,Butler,Male,1983-10-03,enewman@example.com,+1-543-996-1129x1093,North Teresaborough,South Carolina,India,SME,True,2017-09-24
CUST00148,John,Beck,Other,1987-09-11,kingjames@example.net,418-295-4738,Lake William,Kentucky,India,Retail,True,2017-06-06
CUST00149,Thomas,Miller,Female,1984-06-02,wlynn@example.org,(336)884-8557,East Rachel,Oklahoma,India,Premium,True,2019-06-11
CUST00150,Melissa,Villegas,Other,2008-07-14,craigharvey@example.org,476-688-0294,North Emily,South Carolina,India,SME,True,2024-08-24
CUST00151,Charles,Jones,Other,1978-04-11,todd59@example.net,4909367881,West Rachael,Montana,India,Premium,True,2023-02-17
CUST00152,Robert,Fox,Other,1973-11-02,heather29@example.net,001-286-986-6943x20293,Mclaughlinland,Florida,India,Retail,False,2022-09-12
CUST00153,Crystal,Romero,Male,1950-01-30,lindsey62@example.org,684.243.4481x23083,Nguyentown,Oregon,India,SME,True,2020-03-12
CUST00154,James,Mcneil,Male,1961-12-07,john36@example.com,+1-724-724-0338x1059,Cisnerosfort,Wyoming,India,Corporate,True,2019-01-15
CUST00155,Heather,Spencer,Female,1971-03-18,dennis57@example.com,284-726-9450,Cruzton,Ohio,India,Corporate,True,2021-01-12
CUST00156,Troy,Myers,Male,1944-03-09,thoward@example.com,642.540.8916,Camposstad,Arizona,India,SME,True,2024-11-17
CUST00157,John,Harrison,Other,1964-12-15,thompsoncatherine@example.com,435.943.9627x365,North Cynthia,Tennessee,India,Retail,True,2025-01-22
CUST00158,Diana,Reid,Other,1941-03-12,patriciagonzalez@example.net,472-672-2397,Port Destinyview,Mississippi,India,Corporate,True,2019-06-10
CUST00159,Adam,Zavala,Male,1949-10-29,lunapatricia@example.net,3428269312,Port Charles,Montana,India,SME,True,2023-04-21
CUST00160,Karen,King,Other,1995-12-23,hessbeth@example.net,876.818.2091,South Catherine,Ohio,India,Corporate,False,2019-10-07
CUST00161,Kayla,Smith,Female,2006-01-30,rebeccaarnold@example.net,2102023142,Wilsonhaven,Florida,India,SME,False,2020-12-24
CUST00162,Daniel,Kramer,Female,1974-11-29,jvaldez@example.com,485-613-2797,West Tarachester,Alabama,India,Retail,True,2017-06-09
CUST00163,Ronald,Cooper,Male,1974-03-14,xwalker@example.net,372-830-8481x00184,New Heather,Colorado,India,Retail,True,2025-03-26
CUST00164,Gregory,Quinn,Male,1987-02-06,dennis88@example.org,(603)503-6625,Donnaburgh,New Mexico,India,Premium,False,2018-10-31
CUST00165,Susan,Fuller,Female,1968-10-21,acox@example.net,+1-761-372-1314x51951,Lake Lynnberg,Texas,India,Corporate,True,2020-06-01
CUST00166,April,Ingram,Female,1997-08-27,melaniedrake@example.net,8924268592,Bennettfurt,Mississippi,India,Premium,True,2016-08-03
CUST00167,Brent,Moss,Male,1973-10-09,katherinetaylor@example.org,+1-749-445-1475x41022,Gallagherstad,Kansas,India,Retail,True,2017-01-03
CUST00168,John,Cook,Male,1946-03-01,ashleyknight@example.org,(877)711-9642x1522,East Marioborough,South Dakota,India,SME,False,2021-04-02
CUST00169,Melinda,Williams,Male,1942-08-22,ccrosby@example.org,976-576-9523x66878,Christinashire,Alabama,India,Retail,True,2019-07-30
CUST00170,Stephen,Payne,Other,1992-04-17,qhall@example.com,(719)968-9313x5030,West Mark,New Hampshire,India,Retail,True,2023-08-15
CUST00171,Laurie,Li,Male,1960-05-27,bradclark@example.com,(810)555-2472,Emilytown,South Carolina,India,SME,True,2020-04-09
CUST00172,Elizabeth,Thompson,Male,1959-03-26,dharrison@example.org,730.221.2606,Rojasberg,Nebraska,India,Premium,True,2021-04-26
CUST00173,Vanessa,Maxwell,Other,1977-02-05,hoopermario@example.net,001-519-317-9202x521,South Josephfort,Nebraska,India,Corporate,False,2017-09-25
CUST00174,Caitlin,Marshall,Female,1951-12-24,mary49@example.net,9968227284,Port Christina,Connecticut,India,Retail,True,2022-09-08
CUST00175,Stephanie,Dominguez,Male,1971-08-22,nicholasgray@example.net,001-257-804-1200x9282,Garzaport,North Dakota,India,Retail,False,2019-10-03
CUST00176,Patricia,Welch,Other,1991-01-12,blacknicholas@example.org,(478)549-8436x24186,Port Samuelfurt,Nevada,India,Corporate,True,2020-04-09
CUST00177,Cheyenne,Cain,Male,1992-08-16,wgomez@example.com,(890)436-2891x7756,Smithtown,Oregon,India,Retail,True,2019-09-18
CUST00178,Jennifer,Brown,Male,1977-12-03,aeaton@example.net,7562341115,Parkerfort,Michigan,India,Corporate,True,2019-06-19
CUST00179,William,Parsons,Other,1948-03-28,scotthall@example.net,642.581.1390,Angieshire,New Mexico,India,Corporate,True,2017-12-03
CUST00180,Maria,Ellis,Female,1948-04-22,jason22@example.com,+1-930-234-1990,Richardland,Georgia,India,Corporate,True,2024-07-25
CUST00181,Amy,Carter,Other,1993-04-01,guerrerorobert@example.com,5517405468,Port Charlene,Wisconsin,India,SME,True,2024-04-16
CUST00182,Phyllis,Williams,Male,1996-07-10,olsontimothy@example.org,001-965-221-5681x82096,Danielmouth,Wisconsin,India,Premium,True,2018-11-17
CUST00183,Julia,Gonzalez,Female,1965-06-27,deborahjenkins@example.org,722-971-1332x2889,West Mary,Tennessee,India,Premium,True,2023-06-20
CUST00184,Thomas,Williams,Other,1996-06-24,andersonbrittany@example.org,(554)359-6063,Jamieshire,Washington,India,SME,True,2021-11-02
CUST00185,Jonathon,Mahoney,Other,1943-05-16,macdonalddylan@example.org,(997)310-2481,South Kellyshire,Tennessee,India,Premium,False,2020-10-15
CUST00186,John,Robertson,Female,1989-06-07,sandra86@example.net,452.942.1495x511,West Kellytown,Wyoming,India,Premium,True,2019-03-16
CUST00187,Dana,Hays,Male,1977-09-10,johnsjessica@example.com,874-472-1970x546,Lake Danielle,Maine,India,Premium,True,2017-10-31
CUST00188,Katie,Daniels,Other,2007-11-06,robinsoncatherine@example.com,258.595.5168x740,Liumouth,Alabama,India,Retail,False,2024-03-03
CUST00189,Adrienne,King,Other,1947-07-04,ajackson@example.net,001-880-921-4629x613,North Mary,Maryland,India,SME,True,2018-05-10
CUST00190,Courtney,Mullins,Other,1996-12-26,laurahoover@example.org,+1-815-777-8711x21663,East Raymondmouth,Kansas,India,Premium,True,2021-04-20
CUST00191,Joshua,Lee,Male,1991-08-20,gary57@example.net,955-297-3714,South Ricardoside,Maryland,India,SME,True,2024-09-30
CUST00192,Chris,Kelly,Other,1960-10-14,hallpaul@example.org,+1-827-223-5909,North Maryburgh,New York,India,Premium,True,2025-07-09
CUST00193,Justin,Norman,Female,2008-06-29,harrismichele@example.net,(467)330-3064x421,Amandaview,Kentucky,India,Premium,True,2016-09-09
CUST00194,Joseph,Glenn,Female,1971-02-15,mserrano@example.org,861-747-6834x201,Abigailbury,Delaware,India,SME,True,2023-07-09
