account_id,account_number,customer_id,branch_id,product_id,account_type,account_status,opening_date,currency
ACC000036,QMHB40296629917217,CUST00846,BR0016,PRD007,Credit Card,Dormant,10/1/2020,INR
ACC000037,JFTE20416782153926,CUST00080,BR0006,PRD006,Loan,Active,11/9/2019,INR
ACC000038,MTGP06325031392804,CUST00586,BR0003,PRD001,Loan,Active,10/22/2019,INR
ACC000039,RYLA22061901933359,CUST00382,BR0025,PRD003,Credit Card,Active,1/5/2020,INR
ACC000040,HPTP19000029561622,CUST00123,BR0016,PRD005,Savings,Active,10/24/2019,INR
ACC000041,KMWW47185594079923,CUST00515,BR0011,PRD010,Savings,Active,9/26/2022,INR
ACC000042,AJZY53231677814564,CUST00690,BR0008,PRD002,Savings,Active,4/21/2020,INR
ACC000043,OXJH70194539117766,CUST00924,BR0011,PRD007,Current,Dormant,9/3/2022,INR
ACC000044,WNKB52761209281578,CUST00054,BR0009,PRD004,Current,Active,10/6/2024,INR
ACC000045,BNVC90223116787067,CUST00184,BR0002,PRD001,Savings,Active,2/6/2020,INR
ACC000046,UNGK32237185921268,CUST00229,BR0017,PRD001,Credit Card,Active,12/21/2025,INR
ACC000047,XJUQ56371142943000,CUST00824,BR0008,PRD010,Savings,Active,2/11/2021,INR
ACC000048,XHOK39892313246598,CUST00529,BR0018,PRD008,Savings,Active,4/2/2024,INR
ACC000049,MMTG27841783765915,CUST00048,BR0021,PRD010,Current,Active,4/5/2020,INR
ACC000050,GQEB11406526642673,CUST00977,BR0013,PRD003,Credit Card,Dormant,4/20/2023,INR
ACC000051,LCZE72455337565697,CUST00411,BR0013,PRD006,Loan,Active,10/5/2018,INR
ACC000052,NIQO84962249451046,CUST00071,BR0008,PRD002,Credit Card,Active,9/7/2019,INR
ACC000053,UEKA69296568512062,CUST00899,BR0003,PRD004,Current,Active,12/8/2023,INR
ACC000054,YONW72935097934421,CUST00477,BR0015,PRD003,Loan,Active,8/24/2024,INR
ACC000055,ESDJ65022347780457,CUST00887,BR0015,PRD008,Current,Active,5/12/2025,INR
ACC000056,XSOE51840703398214,CUST00290,BR0019,PRD002,Savings,Active,11/5/2020,INR
ACC000057,ORVE33720945167670,CUST00793,BR0015,PRD010,Loan,Active,5/8/2026,INR
ACC000058,MGNU32863011220084,CUST00866,BR0003,PRD006,Current,Active,4/12/2025,INR
ACC000059,QIEM48333679608289,CUST00319,BR0016,PRD001,Savings,Active,6/26/2025,INR
ACC000060,MPXX13605494692085,CUST00336,BR0015,PRD001,Current,Dormant,12/25/2023,INR
ACC000061,NISW01324951935001,CUST00089,BR0011,PRD006,Credit Card,Active,6/12/2026,INR
ACC000062,DKJM17580803889044,CUST00567,BR0004,PRD003,Current,Active,11/28/2020,INR
ACC000063,UCBJ04315668513538,CUST00468,BR0016,PRD009,Credit Card,Active,11/25/2019,INR
ACC000064,UUDI83747558030901,CUST00009,BR0024,PRD002,Current,Active,3/21/2021,INR
ACC000065,MQKM47177840190271,CUST00378,BR0021,PRD003,Savings,Active,10/23/2019,INR
ACC000066,MTQW83716115866861,CUST00206,BR0001,PRD008,Credit Card,Active,3/19/2023,INR
ACC000067,CSSP67598332617050,CUST00299,BR0004,PRD004,Credit Card,Closed,10/7/2019,INR
ACC000068,KRGL34581956572853,CUST00578,BR0013,PRD006,Savings,Closed,12/16/2024,INR
ACC000069,LHHS98242662177580,CUST00804,BR0014,PRD009,Credit Card,Active,8/11/2021,INR
ACC000070,CVKR46687930302853,CUST00312,BR0002,PRD006,Current,Active,11/20/2023,INR
ACC000071,FOFP66983451502528,CUST00758,BR0018,PRD008,Current,Dormant,9/4/2022,INR
ACC000072,LJND30873089720738,CUST00638,BR0018,PRD004,Credit Card,Closed,1/23/2025,INR
ACC000073,WFPZ77711842527863,CUST00249,BR0001,PRD001,Current,Active,1/12/2023,INR
ACC000074,AYTB07121024234473,CUST00476,BR0003,PRD007,Credit Card,Active,2/4/2023,INR
ACC000075,VBLX77719619971659,CUST00378,BR0020,PRD006,Loan,Active,5/2/2020,INR
ACC000076,NLYM67640996833440,CUST00606,BR0020,PRD003,Current,Active,6/18/2025,INR
ACC000077,ATWL22426537932219,CUST00996,BR0021,PRD005,Credit Card,Dormant,8/22/2023,INR
ACC000078,CYIH90705473601579,CUST00506,BR0010,PRD001,Current,Active,10/25/2018,INR
ACC000079,DCKB10162600802658,CUST00792,BR0017,PRD008,Loan,Active,10/28/2021,INR
ACC000080,SWGV47597833548835,CUST00795,BR0018,PRD008,Loan,Active,10/11/2019,INR
ACC000081,PCTF14967914638664,CUST00201,BR0007,PRD009,Current,Closed,3/8/2026,INR
ACC000082,VHZE03172665282468,CUST00751,BR0021,PRD005,Loan,Dormant,1/6/2024,INR
ACC000083,KISF72400020860146,CUST00923,BR0022,PRD009,Current,Active,2/5/2020,INR
ACC000084,ZAKC90854327163033,CUST00560,BR0015,PRD008,Savings,Dormant,2/4/2026,INR
ACC000085,KNUG69301000908993,CUST00779,BR0011,PRD004,Savings,Active,9/28/2020,INR
ACC000086,CROQ10480283541589,CUST00816,BR0012,PRD010,Loan,Active,4/30/2021,INR
ACC000087,YFTV09304376613662,CUST00252,BR0002,PRD003,Current,Active,2/5/2020,INR
ACC000088,RUAQ12268159474705,CUST00155,BR0008,PRD009,Savings,Active,3/31/2021,INR
ACC000089,WHCC05833096739798,CUST00007,BR0015,PRD006,Credit Card,Active,1/8/2025,INR
ACC000090,JEDR91426937650167,CUST00955,BR0011,PRD006,Credit Card,Active,4/18/2024,INR
ACC000091,NPWD87762883636885,CUST00420,BR0018,PRD008,Credit Card,Dormant,11/23/2025,INR
ACC000092,ACXU62762922666788,CUST00025,BR0025,PRD005,Current,Active,5/24/2020,INR
ACC000093,ASWW37616522898907,CUST00239,BR0020,PRD010,Loan,Closed,3/16/2024,INR
ACC000094,JSSH59812559777265,CUST00555,BR0020,PRD009,Current,Dormant,1/28/2022,INR
ACC000095,TPMJ08385805014171,CUST00355,BR0016,PRD003,Loan,Active,8/21/2023,INR
ACC000096,YMKP89391295651887,CUST00652,BR0023,PRD002,Current,Active,2/25/2023,INR
ACC000097,CUDJ86005009244928,CUST00860,BR0022,PRD009,Current,Dormant,10/10/2024,INR
ACC000098,ORPL70302930112501,CUST00711,BR0012,PRD003,Current,Dormant,3/4/2019,INR
ACC000099,UQMU07429069522233,CUST00899,BR0023,PRD008,Savings,Dormant,9/16/2025,INR
ACC000100,NTGD80620073024266,CUST00010,BR0015,PRD005,Credit Card,Active,11/14/2025,INR
ACC000101,EIWZ97537405714469,CUST00974,BR0004,PRD005,Credit Card,Closed,9/17/2018,INR
ACC000102,LNVY74068735445345,CUST00344,BR0004,PRD009,Current,Active,6/16/2020,INR
ACC000103,XCIM68865834834835,CUST00002,BR0025,PRD006,Credit Card,Active,10/18/2018,INR
ACC000104,URNU26736648532077,CUST00778,BR0022,PRD008,Credit Card,Active,8/7/2023,INR
ACC000105,LQPA89432698344369,CUST00674,BR0008,PRD001,Loan,Active,8/29/2020,INR
ACC000106,WKRB50450509284672,CUST00386,BR0001,PRD009,Savings,Active,12/25/2022,INR
ACC000107,XABO34293907737295,CUST00870,BR0011,PRD007,Credit Card,Closed,5/26/2021,INR
ACC000108,IUZL03801625851502,CUST00756,BR0012,PRD003,Current,Active,4/11/2021,INR
ACC000109,WWUA45028143531279,CUST00745,BR0021,PRD001,Current,Dormant,7/26/2022,INR
ACC000110,IYVV33795311123590,CUST00315,BR0010,PRD010,Loan,Active,5/21/2026,INR
ACC000111,IFML27428662510857,CUST00107,BR0018,PRD006,Credit Card,Dormant,4/10/2021,INR
ACC000112,HQGR55451460919351,CUST00211,BR0017,PRD010,Current,Active,9/26/2025,INR
ACC000113,CPVJ55537062728167,CUST00543,BR0012,PRD004,Current,Active,7/25/2019,INR
ACC000114,GHOI61215756264126,CUST00244,BR0023,PRD006,Savings,Active,12/24/2019,INR
ACC000115,AQIQ18762099069319,CUST00430,BR0004,PRD002,Credit Card,Active,1/25/2024,INR
ACC000116,NHAZ39951670450599,CUST00504,BR0002,PRD009,Savings,Active,1/20/2020,INR
ACC000117,REEV67312343888048,CUST00985,BR0006,PRD007,Savings,Active,8/2/2018,INR
ACC000118,LCVJ20259364502823,CUST00062,BR0016,PRD004,Credit Card,Active,7/29/2018,INR
ACC000119,DHIE75576729911549,CUST00996,BR0005,PRD009,Savings,Active,11/16/2021,INR
ACC000120,AXJU43183436953102,CUST00146,BR0023,PRD008,Credit Card,Active,7/28/2025,INR
ACC000121,VSPP11506291792651,CUST00729,BR0024,PRD009,Credit Card,Dormant,12/14/2022,INR
ACC000122,OGFQ16291087392219,CUST00287,BR0024,PRD003,Credit Card,Active,4/25/2023,INR
ACC000123,RHMS15737671052987,CUST00096,BR0014,PRD010,Savings,Active,12/10/2020,INR
ACC000124,PAOU45991530445002,CUST00045,BR0004,PRD005,Credit Card,Dormant,1/28/2025,INR
ACC000125,AEYU68387890345029,CUST00944,BR0009,PRD006,Credit Card,Dormant,8/28/2021,INR
ACC000126,KQMO60304093467541,CUST00238,BR0020,PRD007,Current,Active,2/25/2022,INR
ACC000127,RWXE36881013827210,CUST00919,BR0007,PRD006,Savings,Active,3/26/2022,INR
ACC000128,YKDH34601842201388,CUST00866,BR0007,PRD002,Savings,Closed,7/12/2023,INR
ACC000129,FLZH20831681636038,CUST00533,BR0004,PRD002,Credit Card,Active,4/24/2021,INR
ACC000130,SVVV17369078947672,CUST00423,BR0013,PRD009,Current,Active,6/3/2024,INR
ACC000131,BBAL21410707163485,CUST00718,BR0007,PRD002,Current,Active,4/26/2019,INR
ACC000132,ZAZU89512370851191,CUST00918,BR0015,PRD001,Loan,Dormant,11/16/2022,INR
ACC000133,TIZU45456972965561,CUST00382,BR0007,PRD003,Loan,Dormant,5/25/2024,INR
ACC000134,TFON71377188626395,CUST00470,BR0023,PRD003,Current,Closed,2/3/2026,INR
ACC000135,MDEX66783055737138,CUST00998,BR0011,PRD001,Savings,Active,7/21/2021,INR
ACC000136,QPXJ02234614466276,CUST00766,BR0004,PRD004,Savings,Active,5/31/2021,INR
ACC000137,GXGA41176142152483,CUST00087,BR0025,PRD002,Credit Card,Active,12/10/2022,INR
ACC000138,DTMR63647046568969,CUST00595,BR0014,PRD008,Loan,Active,8/23/2024,INR
ACC000139,QPAG68830048379363,CUST00098,BR0002,PRD004,Current,Active,1/23/2023,INR
ACC000140,WCYL92291270659341,CUST00518,BR0021,PRD002,Credit Card,Active,10/20/2023,INR
ACC000141,BIBM29118722824718,CUST00137,BR0022,PRD001,Savings,Active,8/24/2019,INR
ACC000142,GACR17960757898497,CUST00653,BR0019,PRD010,Credit Card,Active,3/23/2025,INR
ACC000143,JSTO99052217114865,CUST00840,BR0004,PRD007,Credit Card,Active,5/20/2025,INR
ACC000144,NLQX18981061735631,CUST00404,BR0025,PRD008,Current,Dormant,10/8/2023,INR
ACC000145,NGDF97557261694963,CUST00077,BR0015,PRD009,Credit Card,Active,6/12/2024,INR
ACC000146,PRQC19389990682013,CUST00607,BR0015,PRD010,Current,Dormant,3/5/2021,INR
ACC000147,UAPC67532163361317,CUST00582,BR0022,PRD010,Loan,Active,7/28/2019,INR
ACC000148,TQKI90049037295458,CUST00064,BR0019,PRD005,Credit Card,Closed,12/13/2023,INR
ACC000149,YKQH56399812743922,CUST00446,BR0017,PRD001,Savings,Closed,11/23/2024,INR
ACC000150,KYKD74192581476212,CUST00679,BR0005,PRD006,Savings,Active,7/27/2023,INR
ACC000151,WGMZ01863994541384,CUST00988,BR0016,PRD004,Credit Card,Active,2/19/2024,INR
ACC000152,KHDK63093079685909,CUST00134,BR0001,PRD010,Loan,Active,8/8/2025,INR
ACC000153,NWVJ59872408992177,CUST00243,BR0017,PRD002,Savings,Active,5/11/2019,INR
ACC000154,UYGK16681133973670,CUST00299,BR0024,PRD001,Loan,Active,6/1/2019,INR
ACC000155,PWED73402422241983,CUST00268,BR0002,PRD004,Credit Card,Closed,10/30/2023,INR
ACC000156,ZZBN32365401814442,CUST00872,BR0018,PRD008,Loan,Active,8/8/2025,INR
ACC000157,JYRI20243509476511,CUST00323,BR0014,PRD002,Current,Active,6/17/2025,INR
ACC000158,VXQN15640994147539,CUST00949,BR0019,PRD008,Savings,Active,5/8/2021,INR
ACC000159,RTWC37054245190826,CUST00821,BR0016,PRD001,Loan,Active,10/15/2021,INR
ACC000160,CVYC03565942992023,CUST00403,BR0017,PRD006,Savings,Active,9/17/2023,INR
ACC000161,PMWM69692295338619,CUST00718,BR0025,PRD009,Loan,Active,4/14/2026,INR
ACC000162,ICCU83909342424066,CUST00852,BR0006,PRD007,Savings,Active,9/2/2019,INR
ACC000163,VFQX34633488933437,CUST00754,BR0023,PRD006,Savings,Active,10/6/2023,INR
ACC000164,LDXQ66940865424382,CUST00335,BR0019,PRD001,Credit Card,Active,1/25/2022,INR
ACC000165,MTER55074350952889,CUST00326,BR0006,PRD010,Loan,Active,8/20/2025,INR
ACC000166,LTIP03969645359176,CUST00464,BR0024,PRD005,Credit Card,Active,7/22/2022,INR
ACC000167,KBIO18830099542887,CUST00279,BR0005,PRD009,Savings,Active,10/5/2024,INR
ACC000168,GIJX96686679899470,CUST00240,BR0004,PRD001,Loan,Active,12/6/2025,INR
ACC000169,NWDO06901497110384,CUST00077,BR0013,PRD002,Loan,Dormant,2/2/2025,INR
ACC000170,ZWOD56756650518860,CUST00967,BR0022,PRD005,Current,Dormant,1/21/2026,INR
ACC000171,VDMP44923435969850,CUST00208,BR0020,PRD002,Savings,Dormant,5/22/2024,INR
ACC000172,IKYA56693754024286,CUST00140,BR0020,PRD004,Current,Active,1/15/2023,INR
ACC000173,CPWR92571402503857,CUST00799,BR0011,PRD009,Current,Active,12/6/2020,INR
ACC000174,NXFY64816384936806,CUST00789,BR0017,PRD002,Loan,Dormant,10/27/2018,INR
ACC000175,GKQL30101278969519,CUST00599,BR0013,PRD002,Current,Active,2/16/2020,INR
ACC000176,UGAY48527758670365,CUST00112,BR0014,PRD004,Savings,Closed,1/15/2025,INR
ACC000177,NEBG63444394689633,CUST00160,BR0020,PRD009,Credit Card,Active,11/21/2019,INR
ACC000178,DRCV23357617073174,CUST00109,BR0023,PRD007,Current,Active,10/29/2020,INR
ACC000179,ILOO62626367850898,CUST00169,BR0025,PRD004,Current,Active,8/7/2024,INR
ACC000180,TPPI75944348529537,CUST00461,BR0008,PRD004,Loan,Dormant,7/21/2024,INR
ACC000181,XOZI03767687404207,CUST00478,BR0009,PRD009,Loan,Active,4/14/2026,INR
ACC000182,NOLC49753411573309,CUST00322,BR0013,PRD004,Loan,Active,10/10/2019,INR
ACC000183,SBZB09406565823445,CUST00417,BR0011,PRD010,Credit Card,Active,12/11/2021,INR
ACC000184,HQZK65352326600047,CUST00124,BR0010,PRD003,Loan,Active,9/6/2020,INR
ACC000185,ASXC10349561199899,CUST00549,BR0015,PRD009,Savings,Dormant,4/16/2024,INR
ACC000186,XMKC18158374661447,CUST00367,BR0005,PRD009,Savings,Active,4/27/2020,INR
ACC000187,ONCQ68704796668290,CUST00988,BR0005,PRD007,Loan,Dormant,4/14/2026,INR
ACC000188,XLWE56599508914233,CUST00789,BR0014,PRD002,Loan,Active,7/23/2023,INR
ACC000189,AXFS27640547398622,CUST00213,BR0020,PRD010,Credit Card,Active,11/15/2020,INR
ACC000190,CIBL13186604747338,CUST00463,BR0023,PRD006,Credit Card,Active,4/14/2020,INR
ACC000191,SCIO85247442035944,CUST00316,BR0024,PRD008,Savings,Active,5/31/2025,INR
ACC000192,DAXV23873518664774,CUST00475,BR0017,PRD007,Credit Card,Active,1/17/2024,INR
ACC000193,DGCG51830258534658,CUST00272,BR0010,PRD002,Loan,Active,9/16/2025,INR
ACC000194,CLGT88521789559909,CUST00873,BR0023,PRD003,Credit Card,Active,3/13/2025,INR
ACC000195,QJWV12865581675923,CUST00123,BR0018,PRD003,Loan,Active,6/1/2026,INR
ACC000196,RGDS34891800381463,CUST00093,BR0011,PRD009,Savings,Dormant,3/8/2020,INR
ACC000197,IEWT24219597309121,CUST00162,BR0023,PRD007,Current,Active,2/7/2019,INR
ACC000198,QKEP34114613315553,CUST00827,BR0024,PRD009,Credit Card,Active,9/21/2019,INR
ACC000199,BCKH03044077811096,CUST00703,BR0018,PRD006,Savings,Active,3/15/2025,INR
ACC000200,LTRJ55766345418299,CUST00312,BR0021,PRD003,Savings,Active,8/25/2020,INR
ACC000201,DENT94520641910616,CUST00847,BR0007,PRD009,Credit Card,Dormant,10/31/2024,INR
ACC000202,UMWT10082242168268,CUST00722,BR0007,PRD010,Current,Dormant,11/18/2018,INR
ACC000203,EEVC75626996208347,CUST00714,BR0007,PRD008,Loan,Closed,1/20/2019,INR
ACC000204,SZWC00593257228703,CUST00618,BR0020,PRD006,Savings,Active,11/21/2023,INR
ACC000205,FEAB74859724387129,CUST00042,BR0023,PRD006,Savings,Active,12/12/2025,INR
ACC000206,LCJK20580286060480,CUST00221,BR0010,PRD009,Current,Closed,10/6/2022,INR
ACC000207,FZFI06547476950904,CUST00856,BR0022,PRD006,Loan,Dormant,9/9/2023,INR
ACC000208,CUQX98566430165562,CUST00878,BR0012,PRD006,Savings,Active,10/12/2018,INR
ACC000209,HQRP88876569931360,CUST00336,BR0022,PRD007,Current,Active,10/9/2025,INR
ACC000210,NUEE90113860479471,CUST00152,BR0005,PRD007,Credit Card,Active,5/17/2024,INR
ACC000211,YSTA38035148953829,CUST00094,BR0023,PRD006,Current,Active,6/12/2020,INR
ACC000212,JJCS14790534728395,CUST00729,BR0021,PRD010,Current,Active,3/15/2026,INR
ACC000213,CXNP30953267084886,CUST00255,BR0006,PRD004,Savings,Active,2/27/2019,INR
ACC000214,UQXY65629258228280,CUST00992,BR0017,PRD010,Loan,Active,5/10/2026,INR
ACC000215,YYDQ32353068856846,CUST00365,BR0018,PRD009,Credit Card,Active,11/1/2019,INR
ACC000216,PNUP80964583744959,CUST00406,BR0023,PRD004,Current,Dormant,6/1/2021,INR
ACC000217,PKEC35317555928974,CUST00526,BR0021,PRD007,Credit Card,Dormant,5/18/2024,INR
ACC000218,RWOI11486267511997,CUST00051,BR0011,PRD009,Loan,Active,8/23/2024,INR
ACC000219,NIKH49655156419678,CUST00694,BR0023,PRD005,Credit Card,Active,9/20/2020,INR
ACC000220,TNHX00935820163015,CUST00307,BR0004,PRD006,Credit Card,Closed,1/21/2022,INR
ACC000221,SPUU22422848349276,CUST00267,BR0025,PRD008,Savings,Dormant,1/3/2022,INR
ACC000222,NRBS84601804033480,CUST00840,BR0012,PRD008,Loan,Dormant,3/18/2022,INR
ACC000223,CKHO35866715544605,CUST00179,BR0018,PRD007,Current,Active,12/25/2021,INR
ACC000224,HSEM09674627205364,CUST00032,BR0016,PRD001,Savings,Active,9/9/2023,INR
ACC000225,TSCD92856728502155,CUST00975,BR0019,PRD001,Savings,Active,10/30/2023,INR
ACC000226,XZUV38307755821262,CUST00415,BR0019,PRD005,Current,Active,11/2/2020,INR
ACC000227,NIGT56784460789075,CUST00876,BR0022,PRD010,Loan,Active,11/1/2019,INR
ACC000228,CVZS91981775512944,CUST00464,BR0023,PRD001,Credit Card,Active,10/24/2021,INR
ACC000229,DZJT25316498283859,CUST00570,BR0014,PRD009,Loan,Active,12/14/2025,INR
ACC000230,PIOO65659070554943,CUST00767,BR0022,PRD003,Loan,Active,5/19/2020,INR
ACC000231,UJHY68771569220949,CUST00564,BR0024,PRD005,Credit Card,Closed,3/27/2022,INR
ACC000232,BPMW34153597710011,CUST00256,BR0018,PRD001,Credit Card,Dormant,10/4/2023,INR
ACC000233,KUIO73494314872255,CUST00097,BR0010,PRD005,Credit Card,Active,10/11/2018,INR
ACC000234,OQKM41354741685573,CUST00474,BR0014,PRD004,Loan,Dormant,9/9/2022,INR
ACC000235,TVKE32855580957947,CUST00105,BR0001,PRD004,Current,Active,5/9/2024,INR
ACC000236,LQDU66028413623347,CUST00824,BR0017,PRD006,Loan,Active,5/1/2024,INR
ACC000237,AJAO14697147973418,CUST00813,BR0004,PRD001,Current,Active,5/5/2024,INR
ACC000238,LWKS50837456017039,CUST00144,BR0001,PRD005,Loan,Dormant,5/28/2019,INR
ACC000239,MDAC75900170679490,CUST00125,BR0013,PRD009,Current,Active,11/13/2020,INR
ACC000240,PRNW92855162159389,CUST00013,BR0005,PRD009,Credit Card,Active,3/8/2025,INR
ACC000241,NOMV35367355896070,CUST00064,BR0002,PRD009,Loan,Active,11/1/2020,INR
ACC000242,OEER83413351390143,CUST00851,BR0022,PRD010,Loan,Active,8/24/2024,INR
ACC000243,BTOJ27493663579671,CUST00800,BR0002,PRD010,Savings,Active,6/26/2021,INR
ACC000244,WIQA30073565826082,CUST00228,BR0007,PRD003,Current,Active,5/3/2023,INR
ACC000245,KFVN37941288669112,CUST00134,BR0009,PRD002,Loan,Dormant,11/22/2020,INR
ACC000246,VEGZ21425261197892,CUST00203,BR0025,PRD001,Loan,Active,7/24/2019,INR
ACC000247,KZTJ65744653255441,CUST00844,BR0006,PRD008,Credit Card,Active,6/7/2019,INR
ACC000248,DQDZ85136738052038,CUST00411,BR0010,PRD006,Current,Active,7/28/2022,INR
ACC000249,UURD93768418471462,CUST00382,BR0022,PRD003,Current,Dormant,12/21/2020,INR
ACC000250,FACI83335401127283,CUST00703,BR0009,PRD003,Loan,Active,3/8/2023,INR
ACC000251,MAGA87647709067618,CUST00646,BR0005,PRD005,Current,Active,9/12/2018,INR
ACC000252,HYOM29507671621720,CUST00961,BR0002,PRD006,Current,Active,10/1/2020,INR
ACC000253,JRQQ68041869303264,CUST00661,BR0023,PRD010,Current,Active,3/1/2023,INR
ACC000254,UKZM49674199160539,CUST00087,BR0010,PRD004,Current,Active,1/30/2025,INR
ACC000255,VAMZ49097034251970,CUST00597,BR0007,PRD004,Current,Active,9/30/2023,INR
ACC000256,DRCX58913682967074,CUST00601,BR0025,PRD005,Savings,Active,9/15/2024,INR
ACC000257,FDKH19362526022169,CUST00266,BR0018,PRD005,Savings,Active,1/11/2019,INR
ACC000258,XYAR87548029335838,CUST00940,BR0002,PRD002,Loan,Active,11/19/2019,INR
ACC000259,JGVT10657351745469,CUST00833,BR0012,PRD010,Current,Active,1/24/2020,INR
ACC000260,GYWW51021401283319,CUST00077,BR0015,PRD007,Credit Card,Active,2/8/2019,INR
ACC000261,KLQU97990359717717,CUST00023,BR0004,PRD010,Loan,Active,3/10/2025,INR
ACC000262,WAGB56870941246051,CUST00067,BR0020,PRD004,Loan,Active,11/11/2020,INR
ACC000263,MIRZ38953376841876,CUST00203,BR0022,PRD002,Current,Active,1/19/2023,INR
ACC000264,OOVN00643459731730,CUST00925,BR0024,PRD006,Current,Active,6/13/2026,INR
ACC000265,HHFI96757451048480,CUST00662,BR0018,PRD008,Savings,Active,10/12/2020,INR
ACC000266,SJWO31815605427079,CUST00455,BR0008,PRD003,Loan,Dormant,4/19/2023,INR
ACC000267,YSLS47611107976475,CUST00829,BR0024,PRD008,Loan,Dormant,9/2/2018,INR
ACC000268,JVXL65728972269348,CUST00132,BR0021,PRD010,Current,Active,2/13/2026,INR
ACC000269,KIVA39098468560669,CUST00095,BR0018,PRD002,Loan,Active,10/29/2020,INR
ACC000270,XTFU61382687097777,CUST00927,BR0013,PRD010,Credit Card,Active,7/27/2025,INR
ACC000271,TLOB39962637792711,CUST00868,BR0008,PRD005,Current,Active,3/21/2019,INR
ACC000272,BOYH51289622068243,CUST00850,BR0017,PRD001,Loan,Active,2/14/2019,INR
ACC000273,FHGV30239934460606,CUST00829,BR0023,PRD010,Savings,Active,3/3/2022,INR
ACC000274,SIWH06952357865294,CUST00340,BR0010,PRD007,Savings,Active,11/8/2023,INR
ACC000275,CEQK37006448854875,CUST00126,BR0023,PRD002,Credit Card,Active,9/17/2020,INR
ACC000276,HDDS80425542805376,CUST00044,BR0022,PRD001,Credit Card,Active,3/14/2026,INR
ACC000277,YJEL50786887860203,CUST00965,BR0002,PRD006,Current,Active,2/18/2019,INR
ACC000278,XSEF13170195866399,CUST00473,BR0013,PRD006,Credit Card,Active,11/16/2024,INR
ACC000279,VERZ79872873142495,CUST00052,BR0013,PRD007,Loan,Active,6/22/2021,INR
ACC000280,ZNFS17964416033288,CUST00173,BR0014,PRD007,Current,Active,8/12/2018,INR
